
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip). 
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC).

Information: JLMS drives are listed as Lite-ON,   HL-DT-ST as LG Electronics  &  Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
PLEXTOR - BD-R PX-B920SA	+667	76	100%
PLEXTOR - BD-R PX-B940SA	+667	187	100%
PLEXTOR - BD-R PX-B950SA	+6	143	100%
PLEXTOR - BD-R PX-B950UE	+6	36	100%
PLEXTOR - BD-R PX-LB950SA	+6	261	100%
PLEXTOR - BD-R PX-LB950UE	+6	67	100%
PLEXTOR - BD-ROM PX-B120U	+696	97	100%
PLEXTOR - BDDVDR PX-B310SA	+6	11	100%
PLEXTOR - BDDVDR PX-B310U	+6	70	100%
PLEXTOR - BDDVDR PX-B320SA	+6	121	100%
PLEXTOR - BDDVDRPX-B330SA	+702	14	100%
PLEXTOR - CD-R PREMIUM-G	+30	1	100%
PLEXTOR - CD-R PREMIUM2	+30	1556	100%
PLEXTOR - CD-R PREMIUM	+30	1810	100%
PLEXTOR - CD-R PX-230A	+738	562	100%
PLEXTOR - CD-R PX-240A	+6	129	100%
PLEXTOR - CD-R PX-320A	+98	88	100%
PLEXTOR - CD-R PX-R412C	+355	7	100%
PLEXTOR - CD-R PX-R820T	+355	17	100%
PLEXTOR - CD-R PX-S2410T	+685	22	100%
PLEXTOR - CD-R PX-S88T	+98	38	100%
PLEXTOR - CD-R PX-W1210A	+99	477	100%
PLEXTOR - CD-R PX-W1210S	+98	156	100%
PLEXTOR - CD-R PX-W124TS	+943	48	100%
PLEXTOR - CD-R PX-W1610A	+99	216	100%
PLEXTOR - CD-R PX-W2410A	+98	518	100%
PLEXTOR - CD-R PX-W4012A	+98	471	100%
PLEXTOR - CD-R PX-W4012S	+98	41	100%
PLEXTOR - CD-R PX-W4220T	+355	13	100%
PLEXTOR - CD-R PX-W4824A	+98	617	100%
PLEXTOR - CD-R PX-W5224A	+30	428	100%
PLEXTOR - CD-R PX-W8220T	+355	11	100%
PLEXTOR - CD-R PX-W8432T	+355	117	100%
PLEXTOR - CD-ROM PX-12CS	+681	3	100%
PLEXTOR - CD-ROM PX-12TS	+681	5	100%
PLEXTOR - CD-ROM PX-20TS	+681	42	100%
PLEXTOR - CD-ROM PX-32CS	+679	12	100%
PLEXTOR - CD-ROM PX-32TS	+679	127	100%
PLEXTOR - CD-ROM PX-40TS	+676	531	100%
PLEXTOR - CD-ROM PX-40TSUW	+676	1	100%
PLEXTOR - CD-ROM PX-40TW	+676	89	100%
PLEXTOR - CD-ROM PX-54TA	+12	64	100%
PLEXTOR - CD-ROM PX-8XCS	+681	3	100%
PLEXTOR - DVD-ROM PX-106A	+6	10	100%
PLEXTOR - DVD-ROM PX-116A2	+102	178	100%
PLEXTOR - DVD-ROM PX-116A3	+691	62	100%
PLEXTOR - DVD-ROM PX-116A	+691	72	100%
PLEXTOR - DVD-ROM PX-130	+738	2	100%
PLEXTOR - DVD-ROM PX-130A	+738	653	100%
PLEXTOR - DVD-RW PX-608U	+48	25	100%
PLEXTOR - DVDR PX-608CU	+48	104	100%
PLEXTOR - DVDR PX-504A	+48	66	100%
PLEXTOR - DVDR PX-608AL	+48	26	100%
PLEXTOR - DVDR PX-610U	+6	20	100%
PLEXTOR - DVDR PX-612U	+6	25	100%
PLEXTOR - DVDR PX-650US	+6	54	100%
PLEXTOR - DVDR PX-704A	+30	1	100%
PLEXTOR - DVDR PX-708A2	+30	23	100%
PLEXTOR - DVDR PX-708A	+30	1095	100%
PLEXTOR - DVDR PX-708R	+30	1	100%
PLEXTOR - DVDR PX-712A	+30	891	100%
PLEXTOR - DVDR PX-714A	+30	4	100%
PLEXTOR - DVDR PX-716A	+30	2557	100%
PLEXTOR - DVDR PX-716AL	+30	206	100%
PLEXTOR - DVDR PX-740A	+618	502	100%
PLEXTOR - DVDR PX-750A	+102	420	100%
PLEXTOR - DVDR PX-751A	+102	17	100%
PLEXTOR - DVDR PX-755A	+30	1006	100%
PLEXTOR - DVDR PX-760A	+30	1753	100%
PLEXTOR - DVDR PX-800A	+48	474	100%
PLEXTOR - DVDR PX-806SA	+6	35	100%
PLEXTOR - DVDR PX-810SA	+48	641	100%
PLEXTOR - DVDR PX-810UF	+667	110	100%
PLEXTOR - DVDR PX-820A	+48	79	100%
PLEXTOR - DVDR PX-820SA	+48	224	100%
PLEXTOR - DVDR PX-825A	+48	1	100%
PLEXTOR - DVDR PX-830SA	+96	113	100%
PLEXTOR - DVDR PX-840U	+6	2	100%
PLEXTOR - DVDR PX-850A	+6	31	100%
PLEXTOR - DVDR PX-850SA	+6	52	100%
PLEXTOR - DVDR PX-860A	+96	49	100%
PLEXTOR - DVDR PX-860SA	+96	47	100%
PLEXTOR - DVDR PX-870A	+6	67	100%
PLEXTOR - DVDR PX-880SA	+6	939	100%
PLEXTOR - DVDR PX-880U	+6	87	100%
PLEXTOR - DVDR PX-880UE	+6	16	100%
PLEXTOR - DVDR PX-890SA	+6	27	100%
PLEXTOR - DVDR PX-891SA	+6	565	100%
PLEXTOR - DVDR PX-891SAF	+6	29	100%
PLEXTOR - DVDR PX-891SAW	+48	148	100%
PLEXTOR - DVDR PX-B300SA	+667	25	100%
PLEXTOR - DVDR PX-L611U	+6	53	100%
PLEXTOR - DVDR PX-L871A	+6	21	100%
PLEXTOR - DVDR PX-L890SA	+6	968	100%
PLEXTOR - DVDR PX-L890UE	+6	183	100%
PLEXTOR - DVDR PX-Q840U	+6	40	100%
PLEXTOR - DVDR PX-750A	0	5	100%
PLEXTOR - DVDR PX-806SA	+6	1	100%
PLEXTOR - DVDR PX-820SA	0	5	100%
PLEXTOR - PX-54TA	+6	1	100%
Plextor - PX-W4012A	0	14	100%
Polaroid - BurnMAX40	+12	1	100%
Polaroid - BurnMAX40EX	+12	1	100%
Polaroid - BurnMAX48	+12	4	100%
Polaroid - BurnMAX52	+6	1	100%
QPS - CD-R PX-W1210A	+99	1	100%
QPS - CD-R PX-W8432T	+355	2	100%
QPS - CD-W512EB	+685	1	100%
QPS - CD-W516EB	+685	7	100%
QPS - CRD-BP1500P	+688	2	100%
QSI - CD-ROM SCR-242	-1164	12	100%
QSI - CDRW-DVD SBW-241	+733	52	100%
QSI - CDRW-DVD SBW-243	+6	14	100%
QSI - CDRW-DVD SBW242B	+6	18	100%
QSI - CDRW-DVD SBW242C	+6	66	100%
QSI - CDRW-DVD UBW-241	+6	1	100%
QSI - CDRWDVD SBW-245	+6	1	100%
QSI - DVD+-RW SDW-082	+1292	30	100%
QSI - DVD+-RW SDW-082K	+1292	5	100%
QSI - DVD+-RW SDW-082S	+1292	11	100%
QSI - DVD+-RW SDW-085	+6	11	100%
QSI - DVD-CDRW SBW-081	+733	13	100%
QSI - DVD-CDRW SBW-161	+733	16	100%
QSI - DVD-RAM SDW-086	+6	22	100%
QSI - DVD-ROM SDR-081	+564	14	100%
QSI - DVD-ROM SDR-083	-582	5	100%
QSI - DVD-ROM TDR-085	-1164	1	100%
QSI - DVDRW SDW-041	+1292	18	100%
QSI - DVDRW SDW-042	+1292	6	100%
RICOH - CD-R-RW MP7040A	+685	2	100%
RICOH - CD-R-RW MP7060A	+685	2	50%
RICOH - CD-R-RW MP7060S	+685	4	100%
RICOH - CD-R-RW MP7063A	+97	3	66%
RICOH - CD-R-RW MP7080A	+97	5	100%
RICOH - CD-R-RW MP7083A	+97	11	100%
RICOH - CD-R-RW MP7120A	+97	6	100%
RICOH - CD-R-RW MP7125A	+97	4	100%
RICOH - CD-R-RW MP7163A	+97	12	100%
RICOH - CD-R-RW MP7200A	+97	32	100%
RICOH - CD-R-RW MP7240A	+97	4	100%
RICOH - CD-R-RW RW7040A	+685	1	100%
RICOH - CD-RW MP7320A	+97	9	100%
RICOH - CD-RW MP7400A	+97	2	100%
RICOH - DVD+RW MP5120	+120	2	100%
RICOH - DVD+RW MP5125	+120	18	100%
RICOH - DVD+RW MP5240	+91	32	100%
RICOH - DVD+RW MP5240A	+91	12	100%
RICOH - DVD+RW MP5316DAG	+48	7	100%
RICOH - DVD-CDRW MP9060	+708	6	100%
RICOH - DVD-CDRW MP9120	+708	10	100%
RICOH - DVD-CDRW MP9200	+708	7	100%
RICOH - MP6201S	+87	1	100%
RWJKZYR - PQB016NS1	+48	1	100%
SAMSUNG - CD-R-RW SW-208B	+86	3	100%
SAMSUNG - CD-R-RW SW-212B	+733	4	100%
SAMSUNG - CD-R-RW SW-216B	+97	23	100%
SAMSUNG - CD-R-RW SW-224B	+12	18	100%
SAMSUNG - CD-R-RW SW-232B	+97	21	100%
SAMSUNG - CD-R-RW SW-240B	+97	69	100%
SAMSUNG - CD-R-RW SW-248B	+733	17	100%
SAMSUNG - CD-R-RW SW-248F	+97	107	100%
SAMSUNG - CD-R-RW SW-252B	+97	66	100%
SAMSUNG - CD-R-RW SW-252F	+145	72	100%
SAMSUNG - CD-R-RW SW-252S	+6	188	100%
SAMSUNG - CD-R-RW SW-408B	+97	14	100%
SAMSUNG - CD-ROM SC-140	+976	3	100%
SAMSUNG - CD-ROM SC-140B	+682	13	100%
SAMSUNG - CD-ROM SC-140C	+600	22	100%
SAMSUNG - CD-ROM SC-140F	+976	2	100%
SAMSUNG - CD-ROM SC-148A	+12	131	100%
SAMSUNG - CD-ROM SC-148B	+682	3	100%
SAMSUNG - CD-ROM SC-148C	+600	115	100%
SAMSUNG - CD-ROM SC-148S	+975	1	100%
SAMSUNG - CD-ROM SC-148T	+600	3	100%
SAMSUNG - CD-ROM SC-152A	+691	31	100%
SAMSUNG - CD-ROM SC-152B	+600	1	100%
SAMSUNG - CD-ROM SC-152C	+600	16	100%
SAMSUNG - CD-ROM SC-152G	+691	23	100%
SAMSUNG - CD-ROM SC-152L	+600	52	100%
SAMSUNG - CD-ROM SCR-2430	-494	1	100%
SAMSUNG - CD-ROM SCR-3231	+974	1	100%
SAMSUNG - CD-ROM SCR-3232	+686	7	100%
SAMSUNG - CD-ROM SH-152A	+12	32	100%
SAMSUNG - CD-ROM SN-124	+564	46	100%
SAMSUNG - CDRW-DVD SM-308B	+120	62	100%
SAMSUNG - CDRW-DVD SM-316B	+120	7	100%
SAMSUNG - CDRW-DVD SM-332B	+120	56	100%
SAMSUNG - CDRW-DVD SM-348B	+6	109	100%
SAMSUNG - CDRW-DVD SM-352B	+6	135	100%
SAMSUNG - CDRW-DVD SM-352F	+6	82	100%
SAMSUNG - CDRW-DVD SM-352N	+6	22	100%
SAMSUNG - CDRW-DVD SM-408B	+120	2	100%
SAMSUNG - CDRW-DVD SN-308B	+120	9	100%
SAMSUNG - CDRW-DVD SN-324B	+120	67	100%
SAMSUNG - CDRW-DVD SN-324F	+6	72	100%
SAMSUNG - CDRW-DVD SN-324S	+6	67	100%
SAMSUNG - CDRW-DVD SU-324B	+6	10	100%
SAMSUNG - CDRW-DVD SU-408B	+120	6	100%
SAMSUNG - COMBO SM-304B	+120	5	100%
SAMSUNG - DVD R-RW SH-W08A	+116	24	100%
SAMSUNG - DVD R-RW SR-W04B	+48	1	100%
SAMSUNG - DVD-ROM SD-604	+116	1	100%
SAMSUNG - DVD-ROM SD-606F	+116	2	100%
SAMSUNG - DVD-ROM SD-608	+704	1	100%
SAMSUNG - DVD-ROM SD-612	+704	27	100%
SAMSUNG - DVD-ROM SD-612F	+704	1	100%
SAMSUNG - DVD-ROM SD-612S	+1182	15	100%
SAMSUNG - DVD-ROM SD-616	+1292	39	100%
SAMSUNG - DVD-ROM SD-616E	+12	384	100%
SAMSUNG - DVD-ROM SD-616F	+1182	83	100%
SAMSUNG - DVD-ROM SD-616Q	+12	103	100%
SAMSUNG - DVD-ROM SD-616T	+1182	251	100%
SAMSUNG - DVD-ROM SD-816B	+12	36	100%
SAMSUNG - DVDRW SH-S222A	+6	2	50%
SAMSUNG - DVDWBD SH-B083A	+6	36	100%
SAMSUNG - DVDWBD SH-B083L	+6	332	100%
SANYO - CRD-S372B	+694	1	100%
SATA - ASUS BC-12B1S	+702	1	100%
SATA - ASUS BR-04B2T	+696	1	100%
SATA - ASUS DRW-1814	+6	6	100%
SATA - ASUS DRW-2014	+6	7	100%
SATA - ASUS DRW-20B1	+6	1	100%
SATA - ASUS DRW-24B1	+6	1	100%
SATA - ASUS DRW-24B3	+6	1	100%
SATA - ASUS DVD-E818	+6	1	100%
SATA - ATAPI DVD A D	+6	4	100%
SATA - ATAPI DVD D D	+6	1	100%
SATA - ATAPI iHAS120	+6	1	100%
SATA - ATAPI iHAS124	+48	1	100%
SATA - ATAPI iHAS322	+6	1	100%
SATA - ATAPI iHAS324	+6	3	66%
SATA - ATAPI iHAS424	+6	1	100%
SATA - ATAPI iHBS112	+6	1	100%
SATA - ATAPI iHDS118	+6	1	100%
SATA - ATAPI iHOS104	+696	1	100%
SATA - BD-RE GGW-H20L	+667	1	100%
SATA - BENQ DVD DD D	+618	1	100%
SATA - CD-DVDW SH-S183L	+6	1	100%
SATA - DVD RW AW-G170S	+48	1	100%
SATA - DVDR PX-755A	+30	1	100%
SATA - DVDRAM GH20NS15	+667	1	100%
SATA - DVDRW SATA 20X	+6	1	100%
SATA - DVDRW 18X18X12X	+6	1	100%
SATA - DVDRW 8X8X5X	+6	1	100%
SATA - LG ElectronicsBD-RE B	+667	8	100%
SATA - LG ElectronicsBD-RE G	+667	10	100%
SATA - LG ElectronicsBD-RE W	+667	2	100%
SATA - LG ElectronicsBDDVDRW	+667	6	100%
SATA - LG ElectronicsDVD-RAM	+102	14	100%
SATA - LG ElectronicsDVDRAM G	+667	33	100%
SATA - LITE-ON COMBO SH	+6	1	100%
SATA - LITE-ON DVD SOHD	+6	1	100%
SATA - LITE-ON DVDRW LH	+6	6	100%
SATA - Optiarc BD-ROM B	+79	1	100%
SATA - Optiarc DVD RW A	+48	16	100%
SATA - Optiarc DVD+-RW	+48	1	100%
SATA - PIONEER BD-ROM	+667	2	100%
SATA - PIONEER BD-RW	+667	6	100%
SATA - PIONEER DVR-213N	+6	1	100%
SATA - PLDS DVD+-RW	+6	3	100%
SATA - SONY BD-ROM B	+79	1	100%
SATA - SONY CD-RW C	+6	1	100%
SATA - SONY DVD RW A	+48	1	100%
SATA - SONY DVD RW D	+12	1	100%
SATA - SONY DVD-ROM	+12	2	100%
SATA - TSSTcorpCD-DVDW	+6	8	100%
SATA - TSSTcorpCDDVDW S	+6	53	100%
SATA - TSSTcorpCDDVDW T	+6	1	100%
SATA - TSSTcorpDVD-ROM	+6	5	100%
SATA - TSSTcorpDVDWBD S	+6	1	100%
SATA-DVD - DROM6316	+6	36	100%
SHARK - 52X CD-ROM	+12	1	100%
SHARP - BD-BRD50_AQ	+667	1	100%
slimtype - eTDU108 1	+6	128	100%
Slimtype - BD E DL4ETS	+6	42	100%
Slimtype - BD E DS4E1S	+6	242	100%
Slimtype - BD E DS6E2SH	+6	70	100%
Slimtype - BD E DS4E1S	+6	12	100%
Slimtype - BD E DS6E2SH	+6	8	100%
Slimtype - COMBO LSC-24081	+6	10	100%
Slimtype - COMBO LSC-24081M	+6	8	100%
Slimtype - COMBO LSC-24082K	+6	53	100%
Slimtype - COMBO SOSC-2483K	+6	15	100%
Slimtype - DS8A5SH	+6	8	100%
Slimtype - DVD A DA8A5SH-L	+6	11	100%
Slimtype - DVD A DA8A5SH	+6	12	100%
Slimtype - DVD A DA8A6SH	+6	19	100%
Slimtype - DVD A DC8A2SH	+6	5	100%
Slimtype - DVD A DL8A3LH	+6	1	100%
Slimtype - DVD A DL8A4SH	+6	25	100%
Slimtype - DVD A DL8ATS	+6	2	100%
Slimtype - DVD A DL8ATSH	+6	8	100%
Slimtype - DVD A DP-8A4SH	+6	2	100%
Slimtype - DVD A DS-8A5SH	+6	9	100%
Slimtype - DVD A DS8A1H	+594	174	100%
Slimtype - DVD A DS8A1P	+594	258	100%
Slimtype - DVD A DS8A2L-A	+6	22	100%
Slimtype - DVD A DS8A2L	+6	19	100%
Slimtype - DVD A DS8A2S-A	+6	11	100%
Slimtype - DVD A DS8A2S	+6	114	100%
Slimtype - DVD A DS8A3L	+6	7	100%
Slimtype - DVD A DS8A3S	+6	177	100%
Slimtype - DVD A DS8A4L	+6	4	100%
Slimtype - DVD A DS8A4S	+6	126	100%
Slimtype - DVD A DS8A4SH	+6	105	100%
Slimtype - DVD A DS8A5L	+6	3	100%
Slimtype - DVD A DS8A5NH	+6	1	100%
Slimtype - DVD A DS8A5S	+6	56	100%
Slimtype - DVD A DS8A5SH	+6	457	100%
Slimtype - DVD A DS8A8SH	+6	193	100%
Slimtype - DVD A DS8A9SH	+6	70	100%
Slimtype - DVD A DS8ABSH	+6	5	100%
Slimtype - DVD A DS8ACSH	+6	1	100%
Slimtype - DVD A DS8AZH	+594	53	100%
Slimtype - DVD A DS8AZP	+594	5	100%
Slimtype - DVD A DU8A3S	+6	1	100%
Slimtype - DVD A DU8A3SH	+6	1	100%
Slimtype - DVD A DU8A4SH	+6	1	100%
Slimtype - DVD A DU8A5SH	+6	2	100%
Slimtype - DVD A DU8A6SH	+6	1	100%
Slimtype - DVD A DS8A1H	0	2	100%
Slimtype - DVD A DS8A2S	+6	12	100%
Slimtype - DVD A DS8A3S	+6	19	100%
Slimtype - DVD A DS8A4S	+6	125	100%
Slimtype - DVD A DS8A4SH	+6	1	100%
Slimtype - DVD A DS8A5SH	+6	58	100%
Slimtype - DVD A DS8A8SH	+6	36	100%
Slimtype - DVD A DS8A9SH	+6	2	100%
Slimtype - DVD A DS8D4SH	+6	1	100%
Slimtype - DVD A DU8A2S	+6	1	100%
Slimtype - DVD A DU8A3S	+6	3	100%
Slimtype - DVD A DU8A5SH	+6	7	100%
Slimtype - DVD C DS24CZP	+6	3	100%
Slimtype - DVDRW SDW-431S	+12	12	100%
Slimtype - DVDRW SLW-831S	+6	22	100%
Slimtype - DVDRW SOSW-833S	+6	107	100%
Slimtype - DVDRW SOSW-852S	+12	65	100%
Slimtype - DVDRW SSM-8515S	+594	103	100%
Slimtype - DVDRW SSM-85H5S	+594	18	100%
Slimtype - DVDRW SSW-8015S	+594	20	100%
Slimtype - eBAU108 5 L	+6	46	100%
Slimtype - eBAU108 5	+6	4	100%
Slimtype - eBAU108 6 L	+6	8	100%
Slimtype - eNAU108 5	+6	21	100%
Slimtype - eNAU108 8	+6	10	100%
Slimtype - eNAU508 5	+6	8	100%
Slimtype - eNAU508 8	+6	1	100%
Slimtype - eNAU608 5	+6	60	100%
Slimtype - eNAU708 5	+6	1	100%
Slimtype - eNAU808 8	+6	1	100%
Slimtype - eSAU108 2	+6	38	100%
slimtype - eSAU108 3	+6	13	100%
Slimtype - eSAU108 4	+6	26	100%
Slimtype - eSAU108 5	+6	13	100%
Slimtype - eSAU108 8	+6	4	100%
Slimtype - eSAU208 2	+6	90	100%
slimtype - eSAU208 3	+6	37	100%
Slimtype - eSAU208 4	+6	16	100%
Slimtype - eSAU208 5	+6	2	100%
Slimtype - eSEU206 2	+6	9	100%
Slimtype - eSEU306 2	+6	2	100%
Slimtype - eTAU108 1	+6	72	100%
Slimtype - eTAU108 2	+6	89	100%
Slimtype - eTAU108 3	+6	70	100%
Slimtype - eTAU208 1	+6	18	100%
Slimtype - eTAU208 2	+6	19	100%
Slimtype - eUAU108 5	+6	4	100%
Slimtype - eUAU108 5A	+6	14	100%
slimtype - Top Load DVDROM	+6	1	100%
Slimtype - Top Load DVDRW	+6	2	100%
SONY - BD RW BDX-S500U	+48	28	100%
SONY - BD RW BDX-S600U	+48	26	100%
SONY - BD RW BWU-500S	+6	70	100%
SONY - BD-ROM BDU-X10S	+79	104	100%
SONY - BDRW BWU-100A	+102	10	100%
SONY - BDRW BWU-200S	+102	13	100%
SONY - BDRW BWU-300S	+102	4	100%
SONY - CD-ROM CDU5231	+691	11	100%
SONY - CD-ROM CDU4821	+12	4	100%
SONY - CD-ROM CDU5211	+600	44	100%
SONY - CD-ROM CDU5212	+12	4	100%
SONY - CD-ROM CDU5215	+12	8	100%
SONY - CD-ROM CDU5221	+12	54	100%
SONY - CD-ROM CDU5225	+6	15	100%
SONY - CD-ROM CDU5232	+6	3	100%
SONY - CD-ROM CDU5261	+691	1	100%
SONY - CD-ROM CDU701-25	+564	1	100%
SONY - CD-ROM CDU701	+564	10	100%
SONY - CD-ROM CDU711	+99	3	100%
SONY - CD-RW CRX100E	+1160	31	100%
SONY - CD-RW CRX10U	+572	3	100%
SONY - CD-RW CRX120E	+1160	9	100%
SONY - CD-RW CRX140E	+572	101	100%
SONY - CD-RW CRX140S	+572	4	100%
SONY - CD-RW CRX145E	+572	13	100%
SONY - CD-RW CRX145S	+572	1	100%
SONY - CD-RW CRX160E	+572	54	100%
SONY - CD-RW CRX160S	+572	2	100%
SONY - CD-RW CRX168B	+6	2	100%
SONY - CD-RW CRX175A1	+12	57	100%
SONY - CD-RW CRX175A	+120	12	100%
SONY - CD-RW CRX175E2	+97	8	100%
SONY - CD-RW CRX175E	+120	22	100%
SONY - CD-RW CRX185E1	+12	13	100%
SONY - CD-RW CRX185E3	+12	10	100%
SONY - CD-RW CRX195E1	+12	55	100%
SONY - CD-RW CRX210E1	+6	104	100%
SONY - CD-RW CRX215E1	+6	37	100%
SONY - CD-RW CRX215E5	+733	6	100%
SONY - CD-RW CRX216E	+6	100	100%
SONY - CD-RW CRX217E	+6	70	100%
SONY - CD-RW CRX220E1	+6	98	100%
SONY - CD-RW CRX225E	+6	43	100%
SONY - CD-RW CRX230E	+6	118	100%
SONY - CD-RW CRX230ED	+6	133	100%
SONY - CD-RW CRX230EE	+6	85	100%
SONY - CD-RW CRX300E	+6	64	100%
SONY - CD-RW CRX320E	+6	110	100%
SONY - CD-RW CRX320EE	+6	98	100%
SONY - CD-RW CRX700E	+572	18	100%
SONY - CD-RW CRX810E	+120	18	100%
SONY - CD-RW CRX820E	+120	4	100%
SONY - CD-RW CRX830E	+6	27	100%
SONY - CD-RW CRX835E	+6	10	100%
SONY - CD-RW CRX85A	+120	1	100%
SONY - CD-RW CRXP-90MU	+120	1	100%
SONY - CD-RW MPD-AP20U	+120	4	100%
SONY - CD-RW CRX0811	+688	20	100%
SONY - CD-RW CRX1611	+690	27	100%
SONY - CD-RW CRX175E	0	2	100%
SONY - CD-RW CRX230ED	+6	1	100%
SONY - CDRW-DVD CRX330E	+6	24	100%
SONY - CDRW-DVD CRX830E	+6	64	100%
SONY - CDRW-DVD CRX835E	+6	43	100%
SONY - CDRWDVD CRX310EE	+6	54	100%
SONY - CDRWDVD CRX310S	+6	39	100%
SONY - CDRWDVD CRX850E	+6	8	100%
SONY - CDRWDVD CRX880A	+6	77	100%
SONY - CDRWDVD CRX960A	+6	4	75%
SONY - CDU4811	-1164	16	100%
SONY - CDU5211	+600	13	100%
SONY - DVD RW AD-7200A	+48	5	100%
SONY - DVD RW AD-7200S	+48	8	100%
SONY - DVD RW AD-7220S	+6	3	100%
SONY - DVD RW AD-7240S	+48	40	100%
SONY - DVD RW AD-7260S	+48	50	100%
SONY - DVD RW AD-7280S	+48	42	100%
SONY - DVD RW AW-G170A	+48	288	100%
SONY - DVD RW AW-G170S	+48	71	100%
SONY - DVD RW AW-G540A	+48	83	100%
SONY - DVD RW AW-G630A	+48	12	100%
SONY - DVD RW AW-G910A	+48	8	100%
SONY - DVD RW AW-Q160A	+6	2	100%
SONY - DVD RW AW-Q170A	+48	115	100%
SONY - DVD RW AW-Q540A	+48	3	100%
SONY - DVD RW DRU-180A	+6	24	100%
SONY - DVD RW DRU-190A	+6	90	100%
SONY - DVD RW DRU-190S	+6	114	100%
SONY - DVD RW DRU-500A	+120	197	100%
SONY - DVD RW DRU-510A	+120	305	100%
SONY - DVD RW DRU-530A	+689	102	100%
SONY - DVD RW DRU-540A	+691	15	100%
SONY - DVD RW DRU-700A	+12	185	100%
SONY - DVD RW DRU-710A	+12	303	100%
SONY - DVD RW DRU-720A	+12	175	100%
SONY - DVD RW DRU-800A	+12	214	100%
SONY - DVD RW DRU-810A	+618	332	100%
SONY - DVD RW DRU-820A	+102	279	100%
SONY - DVD RW DRU-830A	+6	315	100%
SONY - DVD RW DRU-835A	+6	24	100%
SONY - DVD RW DRU-840A	+6	246	100%
SONY - DVD RW DRU-842A	+48	37	100%
SONY - DVD RW DRU-845S	+6	24	100%
SONY - DVD RW DRU-860A	+6	4	100%
SONY - DVD RW DRU-860S	+6	26	100%
SONY - DVD RW DRU-865S	+6	43	100%
SONY - DVD RW DRU-870S	+48	69	100%
SONY - DVD RW DRU-875S	+48	23	100%
SONY - DVD RW DRU-880S	+48	72	100%
SONY - DVD RW DRU-V200A	+48	54	100%
SONY - DVD RW DRU-V200S	+48	73	100%
SONY - DVD RW DRU-V202A	+48	6	100%
SONY - DVD RW DRU-V204A	+48	15	100%
SONY - DVD RW DRX-S70U	[Purged]		
SONY - DVD RW DRX-S90U	+48	17	100%
SONY - DVD RW DW-D150A	+48	34	100%
SONY - DVD RW DW-D18A	+12	32	100%
SONY - DVD RW DW-D22A	+12	131	100%
SONY - DVD RW DW-D23A	+12	19	100%
SONY - DVD RW DW-D26A	+12	42	100%
SONY - DVD RW DW-D56A	+12	63	100%
SONY - DVD RW DW-G120A	+6	171	100%
SONY - DVD RW DW-G121A	+6	61	100%
SONY - DVD RW DW-G520A	+594	42	100%
SONY - DVD RW DW-G521A	+594	4	100%
SONY - DVD RW DW-Q120A	+6	117	100%
SONY - DVD RW DW-Q28A	+12	124	100%
SONY - DVD RW DW-Q30A	+6	147	100%
SONY - DVD RW DW-Q31A	+6	89	100%
SONY - DVD RW DW-Q520A	+594	25	100%
SONY - DVD RW DW-Q58A	+6	66	100%
SONY - DVD RW DW-Q78A	+6	5	100%
SONY - DVD RW DW-U12A	+120	62	100%
SONY - DVD RW DW-U14A	+120	67	100%
SONY - DVD RW DW-U18A	+12	50	100%
SONY - DVD RW DW-U50A	+120	24	100%
SONY - DVD RW DW-U54A	+120	8	100%
SONY - DVD RW DW-U55A	+120	18	100%
SONY - DVD+-RW AW-Q160S	+6	35	100%
SONY - DVD+-RW DW-D56A	+12	128	100%
SONY - DVD+-RW DW-Q58A	+6	313	100%
SONY - DVD+RW DRU-120A	+120	2	100%
SONY - DVD+RW DW-P50A	+120	27	100%
SONY - DVD+RW DW-R56A	+12	16	100%
SONY - DVD-ROM DDU1211	+594	6	100%
SONY - DVD-ROM DDU1611	+594	15	100%
SONY - DVD-ROM DDU1612	+12	403	100%
SONY - DVD-ROM DDU1613	+12	93	100%
SONY - DVD-ROM DDU1615	+6	831	100%
SONY - DVD-ROM DDU1615S	+6	103	100%
SONY - DVD-ROM DDU1622	+12	35	100%
SONY - DVD-ROM DDU1632	+6	15	100%
SONY - DVD-ROM DDU1642	+6	5	100%
SONY - DVD-ROM DDU1678A	+6	4	100%
SONY - DVD-ROM DDU1681S	+6	15	100%
SONY - DVD-ROM DDU220E	+564	1	100%
SONY - DVD-ROM DDU810A	+6	28	100%
SONY - LucidPort USB300	+48	1	100%
SUPERA - DSM-6S165P	+6	5	100%
TDK - CDRW121032	+99	17	100%
TDK - CDRW121032A	+97	6	100%
TDK - CDRW161040	+99	4	100%
TDK - CDRW161040X	+688	9	100%
TDK - CDRW161040XA	+688	2	100%
TDK - CDRW241040B	+12	34	100%
TDK - CDRW241040UEX	+688	1	100%
TDK - CDRW241040X	+688	12	100%
TDK - CDRW321040B	+12	21	100%
